country,spatial_democracy,pop_prop,region,pop_prop_log,rep_type
Cayman Islands,0.5,876.4166666666666,Americas,6.775841624732028,High
Cayman Islands,0.5,1149,Americas,7.046647277848756,High
Cayman Islands,0.5,1423.25,Americas,7.2606982678311915,High
Cayman Islands,0.5,1777,Americas,7.482681828154651,High
Cayman Islands,0.5,2166.5833333333335,Americas,7.6809067049374935,High
Cayman Islands,0.5,2182.866666666667,Americas,7.688394276657426,High
Cayman Islands,0.5,2644.9333333333334,Americas,7.880401139185844,High
Cayman Islands,0.5,3119.2,Americas,8.045331837668387,Moderate
Cayman Islands,0.5,3005.5,Americas,8.008199222479217,Moderate
Cayman Islands,0.5,3424.5555555555557,Americas,8.138726977474848,Moderate
Cayman Islands,0.5,3815.777777777778,Americas,8.246899796537528,Moderate
Central African Republic,0.2,39388.84705882353,Africa,10.581237985641264,Moderate
Central African Republic,0,35168.95412844037,Africa,10.46791898742109,Moderate
Chile,0.3333333333333333,38189.067708333336,Americas,10.550304567990016,Moderate
Chile,0.6666666666666666,42465.364583333336,Americas,10.65644407167904,Moderate
Chile,0.6666666666666666,46942.385416666664,Americas,10.75667628653448,Moderate
Chile,0,49226.72,Americas,10.804191844491601,Moderate
Chile,0.6666666666666666,85045.41772151898,Americas,11.350940718906593,Low
Chile,0.6666666666666666,91945.4493670886,Americas,11.42895073850967,Low
Chile,0.6666666666666666,98124.27215189874,Americas,11.493990037496932,Low
Chile,1,103473.27848101266,Americas,11.54706867942623,Low
Chile,1,108743.44303797468,Americas,11.596746653229498,Low
Chile,1,114225.47468354431,Americas,11.64592962211156,Low
Chile,0.6666666666666666,122598.88607594937,Americas,11.716673216602429,Low
Colombia,1,67268.1422413793,Americas,11.116442034187877,Low
Colombia,0.6,64429.255319148935,Americas,11.073323084082794,Low
Colombia,0.2,63450.55487804878,Americas,11.058016218227207,Low
Colombia,0.2,75063.16398713826,Americas,11.226085224573566,Low
Colombia,0.6,83937.2926045016,Americas,11.337825282430096,Low
Colombia,0.8,93509.48881789137,Americas,11.445818194810887,Low
Colombia,0.8,103642.39297124601,Americas,11.548701723672771,Low
Colombia,0.8,135111.9320754717,Americas,11.813858840370054,Low
Colombia,0.4,148630.92775665398,Americas,11.909221517178588,Low
Colombia,1,157197.67537313432,Americas,11.965259371165196,Low
Colombia,1,167079.5485074627,Americas,12.026225316353825,Low
Colombia,1,175260.97014925373,Americas,12.074031400080392,Low
Colombia,0.8,188917.89925373133,Americas,12.149067804181826,Low
Comoros,0,10585.619047619048,Africa,9.267251665337291,Moderate
Comoros,0.3333333333333333,11680.619047619048,Africa,9.365686255630049,Moderate
Comoros,0.3333333333333333,17959.909090909092,Africa,9.795897280089989,Moderate
Comoros,0,19843.515151515152,Africa,9.895632540120793,Moderate
Comoros,0,22020.666666666668,Africa,9.999736685325491,Moderate
Cook Islands,0.5,465.6363636363636,Oceania,6.1434049939611,High
Cook Islands,0.5,429.45454545454544,Oceania,6.062515904518882,High
Cook Islands,0.5,402.20454545454544,Oceania,5.996960778752924,High
Cook Islands,0.5,382.54545454545456,Oceania,5.946847481619176,High
Cook Islands,0.5,389.09090909090907,Oceania,5.963813015777472,High
Cook Islands,0.5,404.1136363636364,Oceania,6.001696116537687,High
Cook Islands,0.5,360.3181818181818,Oceania,5.88698747947884,High
Cook Islands,0.5,343.90909090909093,Oceania,5.8403773518346584,High
Cook Islands,0.5,385.8181818181818,Oceania,5.955366226935503,High
Cook Islands,1,396.5,Oceania,5.982676041074902,High
Cook Islands,1,355.52272727272725,Oceania,5.873589177643509,High
Costa Rica,0.5,24512.2,Americas,10.106926231775962,Moderate
Costa Rica,0.5,29499.911111111112,Americas,10.292142529140698,Moderate
Costa Rica,0.5,27828.21052631579,Americas,10.233805552284277,Moderate
Costa Rica,0,32262.263157894737,Americas,10.381653502904062,Moderate
Costa Rica,0,36714.36842105263,Americas,10.510923467533003,Moderate
Costa Rica,0,41940.929824561405,Americas,10.644017474562117,Moderate
Costa Rica,0,48103.40350877193,Americas,10.781108212608679,Moderate
Costa Rica,1,54766.771929824565,Americas,10.910838937385066,Moderate
Costa Rica,1,62020.63157894737,Americas,11.035222376074813,Low
Costa Rica,1,69083.14035087719,Americas,11.143065990852099,Low
Costa Rica,1,74758.59649122808,Americas,11.2220194878677,Low
Costa Rica,1,79929.15789473684,Americas,11.288895995030183,Low
Costa Rica,1,84526.98245614035,Americas,11.34482608138138,Low
Costa Rica,0.5,88321.40350877192,Americas,11.388737752561877,Low
Croatia,0.2,17455.108303249097,Europe,9.767387624231953,Moderate
Croatia,0.4,33473.6231884058,Europe,10.41851304016628,Moderate
Croatia,0.6,28649.701986754968,Europe,10.26289832023032,Moderate
Croatia,0.6,28195.725490196077,Europe,10.246925667075203,Moderate
Croatia,0.6,28112.058823529413,Europe,10.243953902895143,Moderate
Croatia,0.6,27706.814569536426,Europe,10.229433675259775,Moderate
Croatia,0.4,26185.152317880795,Europe,10.17294782368658,Moderate
Curacao,0.5,488692.2727272727,Americas,13.099488271238972,Low
Curacao,1,522132.3181818182,Americas,13.165676317850293,Low
Curacao,1,559142.0454545454,Americas,13.234158826216442,Low
Curacao,1,593276.2727272727,Americas,13.293415459414794,Low
Curacao,1,621819.7727272727,Americas,13.340405575276622,Low
Curacao,1,643758.4545454546,Americas,13.375078864148335,Low
Curacao,1,660861.7727272727,Americas,13.401299978549895,Low
Curacao,1,683221.7272727273,Americas,13.434574723164996,Low
Curacao,1,707501.4545454546,Americas,13.469494964392052,Low
Curacao,0.5,729943.6363636364,Americas,13.50072259968292,Low
Curacao,1,748441.3636363636,Americas,13.525748141278028,Low
Curacao,1,762328.8636363636,Americas,13.544133321140386,Low
Curacao,1,814639.6666666666,Americas,13.610501167666767,Low
Curacao,0.5,839844.3333333334,Americas,13.640971836185777,Low
Cyprus,0.6666666666666666,20893.628571428573,Asia,9.947199538434072,Moderate
Cyprus,0.6666666666666666,14077.69642857143,Asia,9.5523470104018,Moderate
Cyprus,0.6666666666666666,15405.267857142857,Asia,9.64246479855522,Moderate
Cyprus,0.6666666666666666,16922.625,Asia,9.736406762970935,Moderate
Cyprus,0.6666666666666666,18502.696428571428,Asia,9.825671753341247,Moderate
Cyprus,0.6666666666666666,20139.571428571428,Asia,9.91044188643201,Moderate
Cyprus,0.6666666666666666,20669.525423728814,Asia,9.936415692747447,Moderate
Cyprus,0.3333333333333333,22071.98305084746,Asia,10.00206434799394,Moderate
Denmark,1,24797.977653631286,Europe,10.118517382603455,Moderate
Denmark,1,25582.916201117318,Europe,10.149680071806088,Moderate
Denmark,1,26585.67597765363,Europe,10.188127852647474,Moderate
